20240819_f1_angle,20240819_f2_angle,20240819_f3_angle,20240819_f4_angle,20240819_f5_angle,20240819_f6_angle,20240819_f7_angle,20240819_f8_angle,20240819_f9_angle,20240819_f10_angle,20240819_f11_angle,20240819_f12_angle,20240819_f13_angle,20240819_f14_angle,20240819_f15_angle,20240819_f16_angle,20240819_f17_angle,20240819_f18_angle,20240819_f19_angle,20240819_f20_angle,angle_average,angle_upper,angle_lower,Time [s]
-48,-48,-46,-46,-48,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.1,-44,-48,1.4
-48,-48,-46,-46,-48,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.1,-44,-48,1.41
-48,-48,-46,-46,-48,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.1,-44,-48,1.42
-48,-48,-46,-46,-48,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.1,-44,-48,1.43
-48,-48,-46,-46,-48,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.1,-44,-48,1.44
-48,-48,-46,-46,-48,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.1,-44,-48,1.45
-48,-48,-46,-46,-48,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.1,-44,-48,1.46
-48,-48,-46,-46,-48,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.1,-44,-48,1.47
-48,-48,-46,-46,-48,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.1,-44,-48,1.48
-48,-48,-46,-46,-48,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.1,-44,-48,1.49
-48,-48,-46,-46,-48,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.1,-44,-48,1.5
-48,-48,-46,-46,-48,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.1,-44,-48,1.51
-48,-48,-46,-46,-48,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.1,-44,-48,1.52
-48,-48,-46,-46,-48,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.1,-44,-48,1.53
-48,-48,-46,-46,-48,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.1,-44,-48,1.54
-48,-48,-46,-46,-47,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.05,-44,-48,1.55
-48,-48,-46,-46,-47,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.05,-44,-48,1.56
-48,-48,-46,-46,-47,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.05,-44,-48,1.57
-48,-48,-46,-46,-47,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.05,-44,-48,1.58
-48,-48,-46,-46,-47,-47,-46,-45,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.0,-44,-48,1.59
-48,-48,-46,-46,-47,-47,-46,-46,-44,-45,-46,-44,-45,-44,-47,-46,-46,-46,-45,-47,-45.95,-44,-48,1.6
-48,-48,-46,-46,-47,-47,-46,-45,-44,-45,-46,-44,-46,-44,-47,-46,-46,-46,-45,-47,-45.95,-44,-48,1.61
-48,-48,-46,-46,-47,-47,-46,-45,-44,-45,-46,-44,-45,-44,-47,-46,-46,-46,-45,-47,-45.9,-44,-48,1.62
-47,-48,-46,-46,-47,-47,-46,-45,-44,-45,-46,-44,-45,-44,-47,-46,-46,-46,-45,-46,-45.8,-44,-48,1.63
-47,-48,-46,-46,-47,-47,-46,-45,-44,-45,-46,-44,-45,-44,-47,-46,-46,-46,-45,-46,-45.8,-44,-48,1.64
-47,-48,-46,-46,-47,-47,-46,-45,-44,-45,-46,-44,-45,-44,-47,-46,-46,-46,-45,-46,-45.8,-44,-48,1.65
-47,-48,-45,-45,-47,-47,-46,-45,-44,-45,-46,-44,-45,-44,-47,-46,-46,-46,-45,-46,-45.7,-44,-48,1.66
-47,-48,-45,-45,-47,-46,-46,-45,-44,-45,-45,-44,-45,-44,-47,-46,-46,-46,-45,-46,-45.6,-44,-48,1.67
-46,-48,-45,-45,-46,-46,-45,-45,-44,-44,-45,-44,-45,-44,-47,-46,-45,-45,-45,-46,-45.3,-44,-48,1.68
-46,-47,-45,-45,-46,-46,-45,-45,-44,-44,-45,-43,-45,-43,-46,-45,-45,-45,-45,-46,-45.05,-43,-47,1.69
-46,-47,-45,-45,-46,-46,-45,-44,-43,-44,-45,-43,-44,-43,-46,-45,-45,-45,-45,-45,-44.85,-43,-47,1.7
-45,-47,-44,-44,-45,-46,-45,-44,-43,-44,-45,-43,-44,-43,-46,-45,-45,-45,-44,-45,-44.6,-43,-47,1.71
-45,-47,-44,-44,-45,-45,-44,-44,-43,-44,-44,-43,-44,-43,-46,-45,-45,-45,-44,-45,-44.45,-43,-47,1.72
-45,-46,-44,-44,-45,-45,-44,-44,-43,-44,-44,-42,-44,-43,-45,-44,-45,-44,-44,-45,-44.2,-42,-46,1.73
-44,-46,-44,-43,-45,-45,-44,-43,-43,-43,-44,-42,-44,-42,-45,-44,-44,-44,-44,-44,-43.85,-42,-46,1.74
