20240819_w1_angle,20240819_w2_angle,20240819_w3_angle,20240819_w4_angle,20240819_w5_angle,20240819_w6_angle,20240819_w7_angle,20240819_w8_angle,20240819_w9_angle,20240819_w10_angle,20240819_w11_angle,20240819_w12_angle,20240819_w13_angle,20240819_w14_angle,20240819_w15_angle,20240819_w16_angle,20240819_w17_angle,20240819_w18_angle,20240819_w19_angle,20240819_w20_angle,angle_average,angle_upper,angle_lower,Time [s]
-38,-40,-36,-38,-36,-36,-36,-36,-36,-35,-35,-34,-33,-36,-37,-36,-36,-35,-36,-35,-36.0,-33,-40,1.37
-38,-40,-36,-38,-36,-36,-36,-36,-36,-35,-35,-34,-33,-36,-37,-36,-36,-35,-36,-35,-36.0,-33,-40,1.38
-38,-40,-36,-38,-36,-36,-36,-36,-36,-35,-35,-34,-33,-36,-37,-36,-36,-35,-36,-35,-36.0,-33,-40,1.39
-38,-40,-36,-39,-36,-36,-36,-36,-36,-35,-35,-34,-33,-36,-37,-36,-36,-35,-36,-35,-36.05,-33,-40,1.4
-38,-40,-36,-39,-36,-36,-36,-36,-36,-35,-35,-34,-33,-36,-37,-36,-36,-35,-36,-35,-36.05,-33,-40,1.41
-38,-40,-36,-39,-36,-36,-36,-37,-36,-35,-35,-34,-33,-36,-37,-36,-36,-35,-36,-35,-36.1,-33,-40,1.42
-38,-40,-36,-39,-36,-36,-36,-37,-36,-35,-35,-34,-33,-36,-37,-36,-36,-35,-36,-35,-36.1,-33,-40,1.43
-38,-40,-36,-39,-36,-36,-36,-37,-36,-35,-35,-34,-33,-36,-37,-36,-36,-35,-36,-35,-36.1,-33,-40,1.44
-38,-40,-36,-39,-36,-36,-36,-37,-36,-35,-35,-34,-33,-36,-37,-36,-36,-35,-36,-35,-36.1,-33,-40,1.45
-38,-40,-36,-39,-36,-36,-36,-37,-36,-35,-35,-34,-33,-36,-37,-36,-36,-35,-36,-35,-36.1,-33,-40,1.46
-38,-40,-36,-39,-36,-36,-36,-37,-36,-35,-35,-34,-33,-36,-37,-36,-36,-35,-36,-35,-36.1,-33,-40,1.47
-38,-40,-36,-39,-36,-36,-36,-37,-36,-35,-35,-34,-33,-36,-37,-36,-36,-35,-36,-35,-36.1,-33,-40,1.48
-38,-40,-36,-39,-36,-36,-36,-37,-36,-35,-35,-34,-33,-36,-37,-36,-36,-35,-36,-35,-36.1,-33,-40,1.49
-38,-40,-36,-39,-36,-36,-36,-37,-36,-35,-35,-34,-33,-36,-37,-36,-36,-35,-36,-35,-36.1,-33,-40,1.5
-38,-40,-36,-39,-36,-36,-36,-37,-36,-35,-35,-34,-33,-36,-37,-36,-36,-35,-36,-35,-36.1,-33,-40,1.51
-38,-40,-36,-39,-36,-36,-36,-37,-36,-35,-35,-34,-33,-36,-37,-36,-36,-35,-36,-35,-36.1,-33,-40,1.52
-38,-40,-36,-39,-36,-36,-36,-37,-36,-35,-35,-34,-33,-36,-37,-36,-36,-35,-36,-36,-36.15,-33,-40,1.53
-38,-40,-36,-39,-36,-36,-36,-37,-36,-35,-35,-34,-33,-36,-37,-36,-36,-35,-36,-36,-36.15,-33,-40,1.54
-38,-40,-36,-39,-36,-36,-36,-37,-36,-35,-35,-34,-33,-36,-37,-36,-36,-35,-36,-36,-36.15,-33,-40,1.55
-38,-40,-36,-39,-36,-36,-36,-37,-36,-35,-35,-34,-33,-36,-37,-36,-36,-35,-36,-36,-36.15,-33,-40,1.56
-38,-40,-36,-39,-36,-36,-36,-37,-36,-35,-35,-34,-33,-36,-37,-36,-36,-35,-36,-36,-36.15,-33,-40,1.57
-38,-40,-36,-39,-36,-36,-36,-37,-36,-35,-35,-34,-33,-36,-37,-36,-36,-35,-36,-35,-36.1,-33,-40,1.58
-38,-40,-36,-39,-36,-36,-36,-37,-36,-35,-35,-34,-33,-36,-37,-36,-36,-35,-36,-36,-36.15,-33,-40,1.59
-38,-40,-36,-39,-36,-35,-36,-37,-36,-35,-35,-34,-33,-36,-37,-36,-36,-35,-35,-36,-36.05,-33,-40,1.6
-38,-40,-36,-39,-36,-35,-36,-37,-36,-35,-35,-34,-33,-36,-37,-36,-36,-35,-35,-35,-36.0,-33,-40,1.61
-38,-40,-36,-39,-36,-35,-36,-37,-36,-35,-35,-34,-33,-36,-36,-36,-36,-35,-35,-35,-35.95,-33,-40,1.62
-38,-39,-36,-39,-36,-35,-36,-36,-36,-34,-35,-34,-33,-36,-36,-36,-36,-35,-35,-35,-35.8,-33,-39,1.63
-38,-39,-36,-38,-36,-35,-36,-36,-36,-34,-34,-34,-33,-35,-36,-36,-36,-35,-35,-35,-35.65,-33,-39,1.64
-38,-39,-36,-38,-35,-35,-36,-36,-36,-34,-34,-33,-33,-35,-36,-36,-35,-35,-35,-35,-35.5,-33,-39,1.65
-37,-39,-35,-38,-35,-34,-35,-36,-35,-34,-34,-33,-32,-35,-35,-35,-35,-35,-35,-35,-35.1,-32,-39,1.66
-37,-38,-35,-38,-35,-34,-35,-35,-35,-33,-34,-33,-32,-34,-35,-35,-35,-35,-34,-34,-34.8,-32,-38,1.67
-37,-38,-34,-37,-34,-33,-34,-35,-35,-33,-33,-32,-32,-34,-34,-35,-34,-35,-34,-34,-34.35,-32,-38,1.68
-36,-38,-34,-37,-34,-33,-34,-35,-34,-33,-33,-32,-31,-33,-34,-34,-34,-35,-33,-34,-34.05,-31,-38,1.69
-36,-37,-34,-36,-34,-32,-33,-34,-34,-32,-33,-32,-31,-33,-34,-34,-33,-34,-33,-33,-33.6,-31,-37,1.7
-35,-36,-33,-36,-33,-32,-33,-34,-33,-32,-32,-31,-30,-33,-33,-33,-33,-34,-33,-33,-33.1,-30,-36,1.71
-35,-36,-33,-35,-32,-31,-32,-33,-33,-31,-32,-31,-30,-32,-33,-33,-33,-34,-32,-32,-32.65,-30,-36,1.72
-34,-35,-32,-35,-32,-31,-32,-33,-32,-31,-31,-30,-29,-32,-32,-32,-32,-34,-32,-32,-32.15,-29,-35,1.73
-34,-35,-32,-34,-32,-31,-31,-32,-32,-31,-31,-30,-29,-31,-32,-32,-32,-33,-31,-31,-31.8,-29,-35,1.74
